v1,v2
1,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
1,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
1,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
1,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
1,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App:  u.airtel.in/Data90
1,"100% ALERT:You've used 100% of your daily highspeed data limit. Speed is now reduced to 64Kbps. For data packs, click i.airtel.in/rc89"
1,"100% ALERT:You've used 100% of your daily highspeed data limit. Speed is now reduced to 64Kbps. For data packs, click i.airtel.in/rc98"
1,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
1,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App:  i.airtel.in/Rcharge
1,"100% ALERT:You've used 100% of your daily highspeed data limit. Speed is now reduced to 64Kbps. For data packs, click i.airtel.in/Rcharge"
1,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
1,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App u.airtel.in/Data90
1,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data
1,90% Alert: You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data
1,100% ALERT: You have consumed 100% of your daily high Speed Data limit. Track usage or buy data pack on Airtel Thanks App i.airtel.in/Get-Data
1,"Dear 81091087XX,
Rs.5000 Welcome Bonus Cash only for Today
DEL vs UP T20 Match on My11Circle
First Prize - 10,000,000(1Crore) + Car
Click - bz1.in/WXd/1H9N6wK"
1,BSNL offers discounted STV-139 for GP2 customers with benefits of STV-187: U/L calls+U/L 1.5GB/day data+100SMS/day.Validity 28 days.Call 1503. T&C apply.
1,"1 Mahine wali BEST offer! Jo deti hai 10 GB data,UNLIMITED calling,Free BSNL Tunes & Validity 30 days. Recharge today with BSNL plan 147 https://bit.ly/STV0147"
1,"Bina Rukavat ke videos dekhein 2GB data/day ke sath. Recharge BSNL plan 269. Get Unlimited calls, 2GB data/day, FREE BSNL tunes and more! Validity 28 days."
1,"NON STOP Online rahiye! BSNL ka plan 187 aapko dega 1.5GB/day, Unlimited calling, 100SMS/day aur Unlimited BSNL tunes with Validity 28 days. Recharge Now!"
1,"Hum Lae hai EXTRA validity PACK!! Plan 107 main apko milegi 200 min calling, 3GB data aur BSNL Tunes Pure 35 Dino ke liye Recharge: https://bit.ly/STV0107"
1,"Har din FREE data aur Unlimited calling ke sath Unlimited BSNL tunes! Recharge BSNL Plan 153. Get 1GB data/day, FREE calls, FREE BSNL tunes. Validity 26 days"
1,"High Speed data 50 GB, Unlimited calls, 100 SMS/day, Unlimited BSNL tunes! Isse behtar kuchh milega? Aaj hi Recharge kare BSNL plan 247. Validity 30 days"
1,"Baatein UNLIMITED! Recharge BSNL STV 118 and get FREE VOICE calls, 500mb data/day and Unlimited BSNL tunes. Validity 20 days. https://tinyurl.com/STV0118"
1,"Bumper Validity ke sath paye Unlimited calls, 2GB data/day, Unlimited BSNL tunes, 100 SMS/day aur FREE BSNL tunes. Recharge Plan 499. Validity 75 days."
1,"Dear BSNL Customer, to continue with service Pl recharge with STV-399: Get U/L voice, U/L Data 1GB/day, 100sms/day.Validity 70 days. Call 1503 for details."
1,100% ALERT: You have consumed 100% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data
1,"Dear Customer,e-Auction of BSNL PREMIUM NOs LIKE 9425072000 & 9425000064 & MANY MORE PATTERNS etc is started from 03.11.23 to 09.11.23.Pls visit www.mp.bsnl.co.in or http://eauction.bsnl.co.in,For details call 1503."
1,Activate your FREE BSNL TUNE by clicking here https://bit.ly/WestRBT and choose your favorite song as your BSNL Tune to welcome your callers.
1,Salman Khan and Madhuri Dixit ka classic romantic geet Mujhse Juda Hokar ko Banaye isse apni BSNL Tune! Dial *567*3# (TOLLFREE)
1,"Dear Customer, Make UPI payments using HDFC Bank PayZapp & Get assured CashBack on your next 3 UPI payments!
Check : hdfcbk.io/a/jPAoa15x
T&C"
1,"Longest validity ke sath paye Unlimited calls, DATA, 100 SMS per day, and unlimited FREE BSNL tunes for 30 days. Recharge BSNL Plan 2399. Validity 395 days."
1,"105 days validity offer! Recharge with BSNL Plan 666 and get 2GB data/day, Unlimited calls, 100 SMS/day and FREE BSNL tunes. Validity 105 days."
1,"Get FREE Night data during 12am to 5am and 3GB data/day with Recharge of STV 599. Including FREE calls, FREE BSNL tunes and 100 SMS/day. Validity 84 days."
1,"Dear BSNL Customer,Recharge with STV-147 and get U/L any-net voice calls+10GB data for 30 days.T&C apply.Call 1503."
1,"BSNL Recharge 2399 benefits for 395 days: U/L voice any net, U/L Data 2GB/day, 100sms/day, (BSNL Tunes& Lokdhun for 30Days).T&C apply.Call 1503 for details."
1,"Dear Customer,e-Auction of BSNL PREMIUM NOs LIKE 8989898988 & 8989890989 & MANY MORE PATTERNS etc is started from 4.6.24 to 11.06.24.Pls visit www.mp.bsnl.co.in or http://eauction.bsnl.co.in,For details call 1503."
1,"Get unlimited VOICE calls, 2GB Data/day, 100 SMS/day, and unlimited BSNL tunes with STV 199 for 30 days. To recharge https://bit.ly/BSTV199"
1,"Recharge STV 347 and Get unlimited Free VOICE calls,2GB Data/day,100 SMS/day and Unlimited BSNL tunes. Validity 54 days. To recharge https://bit.ly/STV347"
1,"NON STOP Online rahiye! BSNL ka STV 599 aapko dega 3GB/day,Unlimited calling,100SMS/day aur Unlimited BSNL tunes with Validity 84 days. https://bit.ly/STV0599"
1,"Bada Pack! 160 din ki validity ke sath payein Unlimited Calling,2GB data/day,100 SMS/day and FREE BSNL Tunes. Recharge BSNL Plan 997. https://bit.ly/STV0997"
1,"600GB high speed data,Unlimited calling,100 SMS/day and FREE Unlimited BSNL tunes poore 1 saal ke liye ! Recharge BSNL Plan 1999 today. https://bit.ly/STV1999"
1,"Longest validity ke sath paye Unlimited calls,2GBdata/day,100 SMS/day and unlimited FREE BSNL tunes.Recharge BSNL Plan 2399 for 395days. https://bit.ly/STV2399"
1,"Har din FREE data aur Unlimited calling ke sath Unlimited BSNL tunes! Recharge BSNL Plan 153.Get 26GB Data,FREE calls.Validity 26 days. https://bit.ly/STV0153"
1,"Baatein UNLIMITED! Recharge BSNL STV 118 and get FREE VOICE calls,10GB data and Unlimited BSNL tunes. Validity 20 days. https://tinyurl.com/STV0118"
